Date,Units Sold
02-01-2022,90
02-01-2022,178
02-01-2022,256
02-01-2022,27
02-01-2022,67
02-01-2022,84
02-01-2022,67
02-01-2022,15
02-01-2022,333
02-01-2022,56
02-01-2022,165
02-01-2022,54
02-01-2022,93
02-01-2022,250
02-01-2022,90
02-01-2022,83
02-01-2022,16
02-01-2022,87
02-01-2022,241
02-01-2022,286
02-01-2022,60
02-01-2022,437
02-01-2022,377
02-01-2022,83
02-01-2022,203
02-01-2022,183
03-01-2022,5
03-01-2022,199
03-01-2022,176
03-01-2022,214
03-01-2022,165
03-01-2022,9
03-01-2022,140
03-01-2022,177
03-01-2022,217
03-01-2022,47
03-01-2022,3
03-01-2022,2
03-01-2022,18
03-01-2022,242
03-01-2022,228
03-01-2022,31
03-01-2022,16
03-01-2022,20
03-01-2022,193
03-01-2022,118
03-01-2022,96
03-01-2022,48
03-01-2022,130
03-01-2022,11
03-01-2022,313
03-01-2022,352
03-01-2022,265
03-01-2022,11
03-01-2022,191
03-01-2022,185
03-01-2022,143
03-01-2022,85
03-01-2022,270
03-01-2022,233
03-01-2022,187
03-01-2022,39
03-01-2022,234
03-01-2022,213
03-01-2022,55
03-01-2022,22
03-01-2022,100
03-01-2022,353
03-01-2022,255
03-01-2022,154
03-01-2022,147
03-01-2022,342
03-01-2022,54
03-01-2022,289
03-01-2022,179
03-01-2022,175
03-01-2022,209
03-01-2022,109
03-01-2022,43
03-01-2022,58
03-01-2022,399
03-01-2022,95
03-01-2022,296
03-01-2022,105
03-01-2022,103
03-01-2022,131
03-01-2022,66
03-01-2022,163
03-01-2022,98
03-01-2022,150
03-01-2022,15
03-01-2022,36
03-01-2022,303
03-01-2022,209
03-01-2022,69
03-01-2022,143
03-01-2022,239
03-01-2022,192
03-01-2022,23
03-01-2022,165
03-01-2022,85
03-01-2022,79
03-01-2022,33
03-01-2022,270
03-01-2022,1
03-01-2022,149
03-01-2022,3
03-01-2022,59
03-01-2022,15
03-01-2022,351
03-01-2022,66
03-01-2022,62
03-01-2022,77
03-01-2022,177
03-01-2022,349
03-01-2022,74
03-01-2022,40
03-01-2022,72
03-01-2022,190
03-01-2022,263
03-01-2022,126
03-01-2022,17
03-01-2022,19
03-01-2022,36
03-01-2022,207
03-01-2022,91
04-01-2022,58
04-01-2022,91
04-01-2022,70
04-01-2022,0
04-01-2022,32
04-01-2022,8
04-01-2022,341
04-01-2022,347
04-01-2022,15
04-01-2022,85
04-01-2022,30
04-01-2022,136
04-01-2022,31
04-01-2022,7
04-01-2022,377
04-01-2022,28
04-01-2022,348
04-01-2022,258
04-01-2022,41
04-01-2022,49
04-01-2022,83
04-01-2022,60
04-01-2022,448
04-01-2022,11
04-01-2022,390
04-01-2022,81
04-01-2022,121
04-01-2022,44
04-01-2022,88
04-01-2022,142
04-01-2022,48
04-01-2022,61
04-01-2022,140
04-01-2022,390
04-01-2022,91
04-01-2022,32
04-01-2022,60
04-01-2022,206
04-01-2022,108
04-01-2022,349
04-01-2022,271
04-01-2022,202
04-01-2022,34
04-01-2022,165
04-01-2022,2
04-01-2022,308
04-01-2022,76
04-01-2022,91
04-01-2022,113
04-01-2022,274
04-01-2022,116
04-01-2022,5
04-01-2022,115
04-01-2022,79
04-01-2022,223
04-01-2022,258
04-01-2022,236
04-01-2022,309
04-01-2022,32
04-01-2022,44
04-01-2022,145
04-01-2022,150
04-01-2022,40
04-01-2022,245
04-01-2022,241
04-01-2022,138
04-01-2022,152
04-01-2022,12
04-01-2022,158
04-01-2022,265
04-01-2022,240
04-01-2022,153
04-01-2022,68
04-01-2022,302
04-01-2022,70
04-01-2022,92
04-01-2022,275
04-01-2022,3
04-01-2022,307
04-01-2022,62
04-01-2022,195
04-01-2022,33
04-01-2022,263
04-01-2022,83
04-01-2022,78
04-01-2022,118
04-01-2022,147
04-01-2022,216
04-01-2022,27
04-01-2022,172
04-01-2022,78
04-01-2022,196
04-01-2022,75
04-01-2022,11
04-01-2022,144
04-01-2022,200
04-01-2022,256
04-01-2022,118
04-01-2022,244
04-01-2022,54
05-01-2022,147
05-01-2022,220
05-01-2022,97
05-01-2022,29
05-01-2022,192
05-01-2022,158
05-01-2022,8
05-01-2022,42
05-01-2022,5
05-01-2022,93
05-01-2022,44
05-01-2022,78
05-01-2022,57
05-01-2022,161
05-01-2022,172
05-01-2022,132
05-01-2022,46
05-01-2022,17
05-01-2022,38
05-01-2022,11
05-01-2022,161
05-01-2022,101
05-01-2022,263
05-01-2022,32
05-01-2022,209
05-01-2022,24
05-01-2022,20
05-01-2022,148
05-01-2022,100
05-01-2022,129
05-01-2022,257
05-01-2022,262
05-01-2022,200
05-01-2022,56
05-01-2022,24
05-01-2022,105
05-01-2022,294
05-01-2022,142
05-01-2022,55
05-01-2022,24
05-01-2022,53
05-01-2022,189
05-01-2022,146
05-01-2022,186
05-01-2022,77
05-01-2022,225
05-01-2022,66
05-01-2022,35
05-01-2022,1
05-01-2022,95
05-01-2022,255
05-01-2022,132
05-01-2022,234
05-01-2022,42
05-01-2022,25
05-01-2022,30
05-01-2022,28
05-01-2022,38
05-01-2022,149
05-01-2022,192
05-01-2022,198
05-01-2022,83
05-01-2022,97
05-01-2022,173
05-01-2022,69
05-01-2022,256
05-01-2022,246
05-01-2022,332
05-01-2022,325
05-01-2022,53
05-01-2022,17
05-01-2022,223
05-01-2022,95
05-01-2022,225
05-01-2022,216
05-01-2022,324
05-01-2022,75
05-01-2022,158
05-01-2022,55
05-01-2022,131
05-01-2022,74
05-01-2022,59
05-01-2022,150
05-01-2022,135
05-01-2022,79
05-01-2022,62
05-01-2022,130
05-01-2022,74
05-01-2022,16
05-01-2022,342
05-01-2022,48
05-01-2022,224
05-01-2022,64
05-01-2022,322
05-01-2022,264
05-01-2022,343
05-01-2022,15
05-01-2022,90
05-01-2022,143
05-01-2022,36
06-01-2022,37
06-01-2022,230
06-01-2022,58
06-01-2022,305
06-01-2022,120
06-01-2022,2
06-01-2022,35
06-01-2022,171
06-01-2022,195
06-01-2022,97
06-01-2022,177
06-01-2022,1
06-01-2022,181
06-01-2022,100
06-01-2022,1
06-01-2022,429
06-01-2022,26
06-01-2022,176
06-01-2022,15
06-01-2022,2
06-01-2022,81
06-01-2022,23
06-01-2022,65
06-01-2022,62
06-01-2022,76
06-01-2022,136
06-01-2022,255
06-01-2022,244
06-01-2022,173
06-01-2022,330
06-01-2022,95
06-01-2022,144
06-01-2022,350
06-01-2022,240
06-01-2022,210
06-01-2022,59
06-01-2022,57
06-01-2022,57
06-01-2022,283
06-01-2022,203
06-01-2022,170
06-01-2022,30
06-01-2022,180
06-01-2022,211
06-01-2022,243
06-01-2022,7
06-01-2022,9
06-01-2022,231
06-01-2022,11
06-01-2022,18
06-01-2022,144
06-01-2022,26
06-01-2022,61
06-01-2022,80
06-01-2022,476
06-01-2022,316
06-01-2022,162
06-01-2022,51
06-01-2022,37
06-01-2022,63
06-01-2022,101
06-01-2022,105
06-01-2022,134
06-01-2022,50
06-01-2022,220
06-01-2022,260
06-01-2022,80
06-01-2022,167
06-01-2022,166
06-01-2022,49
06-01-2022,26
06-01-2022,73
06-01-2022,257
06-01-2022,50
06-01-2022,49
06-01-2022,24
06-01-2022,192
06-01-2022,47
06-01-2022,325
06-01-2022,150
06-01-2022,195
06-01-2022,35
06-01-2022,96
06-01-2022,219
06-01-2022,14
06-01-2022,14
06-01-2022,39
06-01-2022,162
06-01-2022,70
06-01-2022,64
06-01-2022,83
06-01-2022,171
06-01-2022,101
06-01-2022,128
06-01-2022,7
06-01-2022,15
06-01-2022,250
06-01-2022,192
06-01-2022,149
06-01-2022,7
07-01-2022,107
07-01-2022,115
07-01-2022,32
07-01-2022,307
07-01-2022,92
07-01-2022,23
07-01-2022,429
07-01-2022,64
07-01-2022,242
07-01-2022,20
07-01-2022,102
07-01-2022,118
07-01-2022,71
07-01-2022,115
07-01-2022,128
07-01-2022,161
07-01-2022,66
07-01-2022,87
07-01-2022,46
07-01-2022,124
07-01-2022,150
07-01-2022,67
07-01-2022,72
07-01-2022,114
07-01-2022,119
07-01-2022,68
07-01-2022,211
07-01-2022,46
07-01-2022,117
07-01-2022,116
07-01-2022,53
07-01-2022,137
07-01-2022,143
07-01-2022,152
07-01-2022,39
07-01-2022,211
07-01-2022,100
07-01-2022,73
07-01-2022,122
07-01-2022,86
07-01-2022,39
07-01-2022,145
07-01-2022,4
07-01-2022,8
07-01-2022,298
07-01-2022,175
07-01-2022,177
07-01-2022,154
07-01-2022,24
07-01-2022,63
07-01-2022,29
07-01-2022,52
07-01-2022,59
07-01-2022,48
07-01-2022,71
07-01-2022,86
07-01-2022,12
07-01-2022,336
07-01-2022,35
07-01-2022,20
07-01-2022,13
07-01-2022,46
07-01-2022,49
07-01-2022,92
07-01-2022,108
07-01-2022,343
07-01-2022,83
07-01-2022,72
07-01-2022,186
07-01-2022,50
07-01-2022,80
07-01-2022,36
07-01-2022,188
07-01-2022,227
07-01-2022,174
07-01-2022,139
07-01-2022,4
07-01-2022,70
07-01-2022,12
07-01-2022,162
07-01-2022,97
07-01-2022,297
07-01-2022,197
07-01-2022,32
07-01-2022,131
07-01-2022,284
07-01-2022,246
07-01-2022,139
07-01-2022,182
07-01-2022,164
07-01-2022,438
07-01-2022,59
07-01-2022,88
07-01-2022,211
07-01-2022,161
07-01-2022,111
07-01-2022,186
07-01-2022,30
07-01-2022,33
07-01-2022,126
08-01-2022,2
08-01-2022,33
08-01-2022,123
08-01-2022,79
08-01-2022,217
08-01-2022,14
08-01-2022,172
08-01-2022,58
08-01-2022,162
08-01-2022,186
08-01-2022,106
08-01-2022,229
08-01-2022,261
08-01-2022,142
08-01-2022,255
08-01-2022,42
08-01-2022,248
08-01-2022,58
08-01-2022,127
08-01-2022,151
08-01-2022,341
08-01-2022,134
08-01-2022,64
08-01-2022,298
08-01-2022,107
08-01-2022,233
08-01-2022,18
08-01-2022,278
08-01-2022,241
08-01-2022,23
08-01-2022,7
08-01-2022,13
08-01-2022,91
08-01-2022,25
08-01-2022,117
08-01-2022,34
08-01-2022,153
08-01-2022,351
08-01-2022,285
08-01-2022,188
08-01-2022,264
08-01-2022,50
08-01-2022,12
08-01-2022,250
08-01-2022,271
08-01-2022,189
08-01-2022,324
08-01-2022,454
08-01-2022,104
08-01-2022,6
08-01-2022,480
08-01-2022,3
08-01-2022,11
08-01-2022,60
08-01-2022,47
08-01-2022,36
08-01-2022,85
08-01-2022,61
08-01-2022,66
08-01-2022,119
08-01-2022,23
08-01-2022,25
08-01-2022,214
08-01-2022,450
08-01-2022,148
08-01-2022,69
08-01-2022,97
08-01-2022,161
08-01-2022,97
08-01-2022,170
08-01-2022,132
08-01-2022,145
08-01-2022,331
08-01-2022,256
08-01-2022,135
08-01-2022,163
08-01-2022,105
08-01-2022,39
08-01-2022,41
08-01-2022,59
08-01-2022,53
08-01-2022,149
08-01-2022,208
08-01-2022,61
08-01-2022,211
08-01-2022,223
08-01-2022,93
08-01-2022,150
08-01-2022,147
08-01-2022,209
08-01-2022,40
08-01-2022,8
08-01-2022,241
08-01-2022,8
08-01-2022,230
08-01-2022,89
08-01-2022,116
08-01-2022,125
08-01-2022,83
08-01-2022,96
09-01-2022,350
09-01-2022,9
09-01-2022,153
09-01-2022,5
09-01-2022,343
09-01-2022,45
09-01-2022,81
09-01-2022,194
09-01-2022,169
09-01-2022,40
09-01-2022,106
09-01-2022,50
09-01-2022,85
09-01-2022,51
09-01-2022,342
09-01-2022,98
09-01-2022,418
09-01-2022,316
09-01-2022,284
09-01-2022,55
09-01-2022,155
09-01-2022,29
09-01-2022,50
09-01-2022,137
09-01-2022,242
09-01-2022,71
09-01-2022,237
09-01-2022,45
09-01-2022,252
09-01-2022,222
09-01-2022,334
09-01-2022,45
09-01-2022,270
09-01-2022,87
09-01-2022,270
09-01-2022,178
09-01-2022,50
09-01-2022,95
09-01-2022,45
09-01-2022,391
09-01-2022,112
09-01-2022,337
09-01-2022,98
09-01-2022,34
09-01-2022,4
09-01-2022,65
09-01-2022,21
09-01-2022,100
09-01-2022,331
09-01-2022,40
09-01-2022,48
09-01-2022,393
09-01-2022,116
09-01-2022,198
09-01-2022,67
09-01-2022,55
09-01-2022,312
09-01-2022,169
09-01-2022,141
09-01-2022,225
09-01-2022,253
09-01-2022,74
09-01-2022,58
09-01-2022,117
09-01-2022,242
09-01-2022,97
09-01-2022,239
09-01-2022,307
09-01-2022,250
09-01-2022,57
09-01-2022,156
09-01-2022,175
09-01-2022,6
09-01-2022,3
09-01-2022,14
09-01-2022,85
09-01-2022,222
09-01-2022,259
09-01-2022,59
09-01-2022,245
09-01-2022,408
09-01-2022,178
09-01-2022,28
09-01-2022,72
09-01-2022,101
09-01-2022,151
09-01-2022,384
09-01-2022,123
09-01-2022,207
09-01-2022,98
09-01-2022,338
09-01-2022,152
09-01-2022,253
09-01-2022,304
09-01-2022,19
09-01-2022,222
09-01-2022,200
09-01-2022,113
09-01-2022,148
09-01-2022,214
10-01-2022,36
10-01-2022,183
10-01-2022,38
10-01-2022,18
10-01-2022,59
10-01-2022,151
10-01-2022,323
10-01-2022,76
10-01-2022,138
10-01-2022,113
10-01-2022,88
10-01-2022,16
10-01-2022,284
10-01-2022,269
10-01-2022,381
10-01-2022,80
10-01-2022,84
10-01-2022,8
10-01-2022,65
10-01-2022,221
10-01-2022,42
10-01-2022,70
10-01-2022,11
10-01-2022,54
10-01-2022,36
10-01-2022,229
10-01-2022,94
10-01-2022,212
10-01-2022,178
10-01-2022,300
10-01-2022,345
10-01-2022,147
10-01-2022,104
10-01-2022,73
10-01-2022,293
10-01-2022,71
10-01-2022,21
10-01-2022,22
10-01-2022,31
10-01-2022,259
10-01-2022,57
10-01-2022,79
10-01-2022,7
10-01-2022,92
10-01-2022,248
10-01-2022,89
10-01-2022,120
10-01-2022,216
10-01-2022,335
10-01-2022,158
10-01-2022,91
10-01-2022,320
10-01-2022,67
10-01-2022,79
10-01-2022,84
10-01-2022,87
10-01-2022,18
10-01-2022,369
10-01-2022,170
10-01-2022,192
10-01-2022,280
10-01-2022,236
10-01-2022,107
10-01-2022,40
10-01-2022,27
10-01-2022,102
10-01-2022,110
10-01-2022,135
10-01-2022,12
10-01-2022,259
10-01-2022,110
10-01-2022,53
10-01-2022,35
10-01-2022,349
10-01-2022,178
10-01-2022,201
10-01-2022,264
10-01-2022,35
10-01-2022,73
10-01-2022,215
10-01-2022,23
10-01-2022,211
10-01-2022,28
10-01-2022,40
10-01-2022,112
10-01-2022,112
10-01-2022,140
10-01-2022,94
10-01-2022,177
10-01-2022,209
10-01-2022,46
10-01-2022,62
10-01-2022,176
10-01-2022,21
10-01-2022,300
10-01-2022,103
10-01-2022,266
10-01-2022,235
10-01-2022,154
10-01-2022,176
11-01-2022,16
11-01-2022,124
11-01-2022,9
11-01-2022,344
11-01-2022,263
11-01-2022,259
11-01-2022,79
11-01-2022,230
11-01-2022,183
11-01-2022,144
11-01-2022,249
11-01-2022,3
11-01-2022,213
11-01-2022,57
11-01-2022,38
11-01-2022,302
11-01-2022,136
11-01-2022,54
11-01-2022,410
11-01-2022,168
11-01-2022,48
11-01-2022,112
11-01-2022,67
11-01-2022,149
11-01-2022,317
11-01-2022,277
11-01-2022,6
11-01-2022,22
11-01-2022,326
11-01-2022,172
11-01-2022,314
11-01-2022,48
11-01-2022,379
11-01-2022,241
11-01-2022,144
11-01-2022,58
11-01-2022,418
11-01-2022,274
11-01-2022,110
11-01-2022,333
11-01-2022,6
11-01-2022,188
11-01-2022,201
11-01-2022,108
11-01-2022,94
11-01-2022,28
11-01-2022,70
11-01-2022,53
11-01-2022,29
11-01-2022,69
11-01-2022,201
11-01-2022,405
11-01-2022,3
11-01-2022,6
11-01-2022,58
11-01-2022,22
11-01-2022,320
11-01-2022,221
11-01-2022,23
11-01-2022,109
11-01-2022,45
11-01-2022,94
11-01-2022,175
11-01-2022,136
11-01-2022,107
11-01-2022,89
11-01-2022,81
11-01-2022,43
11-01-2022,233
11-01-2022,386
11-01-2022,37
11-01-2022,206
11-01-2022,37
11-01-2022,116
11-01-2022,309
11-01-2022,186
11-01-2022,59
11-01-2022,139
11-01-2022,25
11-01-2022,356
11-01-2022,204
11-01-2022,331
11-01-2022,52
11-01-2022,175
11-01-2022,210
11-01-2022,29
11-01-2022,82
11-01-2022,71
11-01-2022,168
11-01-2022,50
11-01-2022,117
11-01-2022,89
11-01-2022,178
11-01-2022,159
11-01-2022,230
11-01-2022,6
11-01-2022,148
11-01-2022,224
11-01-2022,19
11-01-2022,155
12-01-2022,104
12-01-2022,63
12-01-2022,164
12-01-2022,69
12-01-2022,13
12-01-2022,176
12-01-2022,152
12-01-2022,0
12-01-2022,33
12-01-2022,3
12-01-2022,327
12-01-2022,146
12-01-2022,38
12-01-2022,106
12-01-2022,297
12-01-2022,31
12-01-2022,18
12-01-2022,296
12-01-2022,444
12-01-2022,153
12-01-2022,314
12-01-2022,91
12-01-2022,241
12-01-2022,21
12-01-2022,75
12-01-2022,138
12-01-2022,46
12-01-2022,105
12-01-2022,37
12-01-2022,23
12-01-2022,62
12-01-2022,19
12-01-2022,58
12-01-2022,33
12-01-2022,159
12-01-2022,14
12-01-2022,52
12-01-2022,37
12-01-2022,227
12-01-2022,219
12-01-2022,168
12-01-2022,113
12-01-2022,21
12-01-2022,64
12-01-2022,99
12-01-2022,204
12-01-2022,8
12-01-2022,7
12-01-2022,3
12-01-2022,6
12-01-2022,86
12-01-2022,328
12-01-2022,63
12-01-2022,104
12-01-2022,89
12-01-2022,114
12-01-2022,10
12-01-2022,127
12-01-2022,194
12-01-2022,151
12-01-2022,39
12-01-2022,95
12-01-2022,31
12-01-2022,4
12-01-2022,286
12-01-2022,145
12-01-2022,104
12-01-2022,190
12-01-2022,200
12-01-2022,82
12-01-2022,119
12-01-2022,141
12-01-2022,29
12-01-2022,309
12-01-2022,95
12-01-2022,14
12-01-2022,400
12-01-2022,167
12-01-2022,96
12-01-2022,205
12-01-2022,6
12-01-2022,448
12-01-2022,67
12-01-2022,29
12-01-2022,129
12-01-2022,32
12-01-2022,345
12-01-2022,39
12-01-2022,162
12-01-2022,116
12-01-2022,170
12-01-2022,78
12-01-2022,136
12-01-2022,132
12-01-2022,18
12-01-2022,40
12-01-2022,86
12-01-2022,18
12-01-2022,197
12-01-2022,60
13-01-2022,80
13-01-2022,310
13-01-2022,1
13-01-2022,70
13-01-2022,254
13-01-2022,135
13-01-2022,245
13-01-2022,122
13-01-2022,26
13-01-2022,25
13-01-2022,24
13-01-2022,9
13-01-2022,80
13-01-2022,58
13-01-2022,55
13-01-2022,19
13-01-2022,52
13-01-2022,198
13-01-2022,196
13-01-2022,152
13-01-2022,317
13-01-2022,54
13-01-2022,149
13-01-2022,247
13-01-2022,158
13-01-2022,334
13-01-2022,225
13-01-2022,37
13-01-2022,335
13-01-2022,111
13-01-2022,175
13-01-2022,217
13-01-2022,229
13-01-2022,62
13-01-2022,283
13-01-2022,79
13-01-2022,98
13-01-2022,12
13-01-2022,247
13-01-2022,17
13-01-2022,2
13-01-2022,71
13-01-2022,15
13-01-2022,1
13-01-2022,182
13-01-2022,54
13-01-2022,63
13-01-2022,133
13-01-2022,24
13-01-2022,247
13-01-2022,53
13-01-2022,3
13-01-2022,57
13-01-2022,42
13-01-2022,131
13-01-2022,58
13-01-2022,127
13-01-2022,27
13-01-2022,352
13-01-2022,21
13-01-2022,171
13-01-2022,103
13-01-2022,5
13-01-2022,416
13-01-2022,54
13-01-2022,41
13-01-2022,221
13-01-2022,127
13-01-2022,71
13-01-2022,247
13-01-2022,159
13-01-2022,80
13-01-2022,166
13-01-2022,32
13-01-2022,189
13-01-2022,78
13-01-2022,2
13-01-2022,13
13-01-2022,114
13-01-2022,6
13-01-2022,63
13-01-2022,123
13-01-2022,73
13-01-2022,172
13-01-2022,251
13-01-2022,191
13-01-2022,172
13-01-2022,265
13-01-2022,319
13-01-2022,129
13-01-2022,15
13-01-2022,51
13-01-2022,236
13-01-2022,9
13-01-2022,374
13-01-2022,85
13-01-2022,6
13-01-2022,49
13-01-2022,403
13-01-2022,251
14-01-2022,177
14-01-2022,236
14-01-2022,61
14-01-2022,160
14-01-2022,144
14-01-2022,38
14-01-2022,126
14-01-2022,110
14-01-2022,32
14-01-2022,65
14-01-2022,70
14-01-2022,227
14-01-2022,413
14-01-2022,117
14-01-2022,14
14-01-2022,94
14-01-2022,129
14-01-2022,216
14-01-2022,163
14-01-2022,48
14-01-2022,45
14-01-2022,36
14-01-2022,43
14-01-2022,199
14-01-2022,63
14-01-2022,86
14-01-2022,53
14-01-2022,41
14-01-2022,136
14-01-2022,326
14-01-2022,25
14-01-2022,56
14-01-2022,76
14-01-2022,50
14-01-2022,96
14-01-2022,23
14-01-2022,12
14-01-2022,95
14-01-2022,195
14-01-2022,208
14-01-2022,76
14-01-2022,35
14-01-2022,22
14-01-2022,51
14-01-2022,182
14-01-2022,86
14-01-2022,36
14-01-2022,25
14-01-2022,224
14-01-2022,144
14-01-2022,29
14-01-2022,68
14-01-2022,291
14-01-2022,137
14-01-2022,60
14-01-2022,210
14-01-2022,117
14-01-2022,18
14-01-2022,388
14-01-2022,188
14-01-2022,39
14-01-2022,85
14-01-2022,123
14-01-2022,91
14-01-2022,31
14-01-2022,77
14-01-2022,101
14-01-2022,383
14-01-2022,283
14-01-2022,255
14-01-2022,294
14-01-2022,41
14-01-2022,249
14-01-2022,304
14-01-2022,324
14-01-2022,58
14-01-2022,155
14-01-2022,328
14-01-2022,76
14-01-2022,40
14-01-2022,63
14-01-2022,188
14-01-2022,198
14-01-2022,71
14-01-2022,126
14-01-2022,144
14-01-2022,256
14-01-2022,84
14-01-2022,165
14-01-2022,20
14-01-2022,239
14-01-2022,56
14-01-2022,21
14-01-2022,80
14-01-2022,292
14-01-2022,348
14-01-2022,274
14-01-2022,222
14-01-2022,0
14-01-2022,81
15-01-2022,176
15-01-2022,92
15-01-2022,90
15-01-2022,176
15-01-2022,82
15-01-2022,145
15-01-2022,31
15-01-2022,130
15-01-2022,169
15-01-2022,381
15-01-2022,402
15-01-2022,55
15-01-2022,4
15-01-2022,16
15-01-2022,115
15-01-2022,46
15-01-2022,8
15-01-2022,29
15-01-2022,215
15-01-2022,116
15-01-2022,19
15-01-2022,105
15-01-2022,100
15-01-2022,105
15-01-2022,105
15-01-2022,162
15-01-2022,4
15-01-2022,183
15-01-2022,275
15-01-2022,82
15-01-2022,115
15-01-2022,151
15-01-2022,69
15-01-2022,296
15-01-2022,306
15-01-2022,303
15-01-2022,22
15-01-2022,110
15-01-2022,55
15-01-2022,98
15-01-2022,212
15-01-2022,383
15-01-2022,145
15-01-2022,296
15-01-2022,118
15-01-2022,28
15-01-2022,270
15-01-2022,55
15-01-2022,91
15-01-2022,171
15-01-2022,236
15-01-2022,113
15-01-2022,366
15-01-2022,70
15-01-2022,168
15-01-2022,79
15-01-2022,156
15-01-2022,87
15-01-2022,174
15-01-2022,289
15-01-2022,59
15-01-2022,116
15-01-2022,153
15-01-2022,110
15-01-2022,41
15-01-2022,27
15-01-2022,76
15-01-2022,139
15-01-2022,141
15-01-2022,70
15-01-2022,139
15-01-2022,286
15-01-2022,51
15-01-2022,230
15-01-2022,1
15-01-2022,207
15-01-2022,129
15-01-2022,141
15-01-2022,53
15-01-2022,317
15-01-2022,120
15-01-2022,174
15-01-2022,323
15-01-2022,110
15-01-2022,168
15-01-2022,47
15-01-2022,204
15-01-2022,40
15-01-2022,11
15-01-2022,243
15-01-2022,76
15-01-2022,21
15-01-2022,20
15-01-2022,87
15-01-2022,428
15-01-2022,262
15-01-2022,32
15-01-2022,62
15-01-2022,103
15-01-2022,86
16-01-2022,97
16-01-2022,240
16-01-2022,160
16-01-2022,81
16-01-2022,34
16-01-2022,383
16-01-2022,7
16-01-2022,133
16-01-2022,112
16-01-2022,119
16-01-2022,154
16-01-2022,79
16-01-2022,482
16-01-2022,116
16-01-2022,64
16-01-2022,455
16-01-2022,239
16-01-2022,21
16-01-2022,249
16-01-2022,265
16-01-2022,125
16-01-2022,29
16-01-2022,386
16-01-2022,56
16-01-2022,64
16-01-2022,92
16-01-2022,203
16-01-2022,4
16-01-2022,126
16-01-2022,135
16-01-2022,329
16-01-2022,144
16-01-2022,54
16-01-2022,190
16-01-2022,132
16-01-2022,351
16-01-2022,345
16-01-2022,114
16-01-2022,112
16-01-2022,206
16-01-2022,16
16-01-2022,100
16-01-2022,45
16-01-2022,382
16-01-2022,39
16-01-2022,106
16-01-2022,73
16-01-2022,191
16-01-2022,269
16-01-2022,245
16-01-2022,120
16-01-2022,15
16-01-2022,180
